ID,Age,AgeClass,Education,MaritalStatus,Children,Income,IncomeClass,Wines,Fruits,Meat,Fish,Sweet,Gold,TotalExpense,NumWeb,NumCatalog,NumStore,Cmp1,Cmp2
5524,68,BB-Others,Graduation,Single,0,58138.0,Medium,635,88,546,172,88,88,1617,8,10,4,0,0
2174,71,BB-Others,Graduation,Single,2,46344.0,Low,11,1,6,2,1,6,27,1,1,2,0,0
4141,60,BB-Others,Graduation,Together,0,71613.0,High,426,49,127,111,21,42,776,8,2,10,0,0
6182,41,Ger.X,Graduation,Together,1,26646.0,Very Low,11,4,20,10,3,5,53,2,0,4,0,0
5324,44,Ger.X,PhD,Married,1,58293.0,Medium,173,43,118,46,27,15,422,5,3,6,0,0
7446,58,BB-Others,Master,Together,1,62513.0,Medium,520,42,98,0,42,14,716,6,4,10,0,0
965,54,Ger.X-BB,Graduation,Divorced,1,55635.0,Medium,235,65,164,50,49,27,590,7,3,7,0,0
6177,40,Ger.X,PhD,Married,1,33454.0,Very Low,76,10,56,3,1,23,169,4,0,4,0,0
4855,51,Ger.X-BB,PhD,Together,1,30351.0,Very Low,14,0,24,3,3,2,46,3,0,2,0,0
5899,75,BB-Others,PhD,Together,2,7705.92,Very Low,28,0,6,1,1,13,49,1,0,0,0,0
1994,42,Ger.X,Graduation,Married,1,51381.5,Low,5,5,6,0,2,1,19,1,0,2,0,0
387,49,Ger.X-BB,Basic,Married,0,7705.92,Very Low,6,16,11,11,1,16,61,2,0,3,0,0
2125,66,BB-Others,Graduation,Divorced,0,63033.0,Medium,194,61,480,225,112,30,1102,3,4,8,0,0
8180,73,BB-Others,Master,Divorced,2,59354.0,Medium,233,2,53,3,5,14,310,6,1,5,0,0
2569,38,Ger.X,Graduation,Married,0,17323.0,Very Low,3,14,17,6,1,5,46,1,0,3,0,0
2114,79,BB-Others,PhD,Single,0,82800.0,High,1006,22,115,59,68,45,1315,7,6,12,1,0
9736,45,Ger.X-BB,Graduation,Married,2,41850.0,Low,53,5,19,2,13,4,96,3,0,3,0,0
4939,79,BB-Others,Graduation,Together,0,37760.0,Low,84,5,38,150,12,28,317,4,1,6,0,0
6565,76,BB-Others,Master,Married,1,76995.0,High,1012,80,498,0,16,176,1782,11,4,9,1,0
2278,40,Ger.X,2n Cycle,Single,1,33812.0,Very Low,4,17,19,30,24,39,133,2,1,3,0,0
9360,43,Ger.X,Graduation,Married,0,37040.0,Low,86,2,73,69,38,48,316,4,2,5,0,0
5376,46,Ger.X-BB,Graduation,Married,1,7705.92,Very Low,1,1,1725,1,1,1,1730,0,28,0,0,0
1993,76,BB-Others,PhD,Married,1,58607.0,Medium,867,0,86,0,0,19,972,2,3,9,0,0
4047,71,BB-Others,PhD,Married,1,65324.0,Medium,384,0,102,21,32,5,544,6,2,9,0,0
1409,74,BB-Others,Graduation,Together,1,40689.0,Low,270,3,27,39,6,99,444,7,1,5,0,0
7892,56,BB-Others,Graduation,Single,0,18589.0,Very Low,6,4,25,15,12,13,75,2,1,3,0,0
2404,49,Ger.X-BB,Graduation,Married,2,53359.0,Medium,173,4,30,3,6,41,257,5,1,4,0,0
5255,39,Ger.X,Graduation,Single,1,51381.5,Low,5,1,3,3,263,362,637,27,0,0,0,0
9422,36,Ger.X,Graduation,Married,1,38360.0,Low,36,2,42,20,21,10,131,2,1,4,0,0
1966,60,BB-Others,PhD,Married,0,84618.0,High,684,100,801,21,66,0,1672,6,9,10,0,0
6864,36,Ger.X,Master,Divorced,0,10979.0,Very Low,8,4,10,2,2,4,30,3,0,3,0,0
3033,62,BB-Others,Master,Together,0,38620.0,Low,112,17,44,34,22,89,318,2,5,3,0,0
5710,55,BB-Others,Graduation,Together,1,40548.0,Low,110,0,5,2,0,3,120,2,1,4,0,0
7373,73,BB-Others,PhD,Divorced,2,46610.0,Low,96,12,96,33,22,43,302,4,1,6,0,0
8755,79,BB-Others,Master,Married,0,68657.0,High,482,34,471,119,68,22,1196,3,5,9,0,0
10738,74,BB-Others,Master,Single,2,49389.0,Low,40,0,19,2,1,3,65,2,0,3,0,0
4339,55,BB-Others,PhD,Married,1,67353.0,Medium,702,17,151,0,8,35,913,5,6,12,0,0
10755,49,Ger.X-BB,2n Cycle,Married,1,23718.0,Very Low,6,3,14,15,7,36,81,3,1,2,0,0
8595,52,Ger.X-BB,Graduation,Widow,1,42429.0,Low,55,0,6,2,0,4,67,1,1,3,0,0
2968,82,BB-Others,PhD,Divorced,0,48948.0,Low,437,8,206,160,49,42,902,7,10,5,0,0
8601,45,Ger.X-BB,Graduation,Married,1,80011.0,High,421,76,536,82,178,102,1395,8,6,5,0,0
503,40,Ger.X,Master,Married,1,20559.0,Very Low,13,1,29,3,0,7,53,2,0,3,0,0
8430,68,BB-Others,Graduation,Together,1,21994.0,Very Low,9,0,6,3,1,3,22,0,0,3,0,0
7281,66,BB-Others,PhD,Single,0,51381.5,Low,81,11,50,3,2,39,186,1,3,4,0,0
2139,50,Ger.X-BB,Master,Married,1,7705.92,Very Low,3,1,10,3,2,12,31,2,0,3,0,0
1371,49,Ger.X-BB,Graduation,Single,0,79941.0,High,123,164,266,227,30,174,984,2,4,9,0,0
9909,29,Milennials,2n Cycle,Married,0,7705.92,Very Low,3,18,14,15,22,50,122,3,1,3,0,0
7286,57,BB-Others,Graduation,Together,1,41728.0,Low,13,6,15,3,5,13,55,2,0,2,0,0
7244,74,BB-Others,Graduation,Single,3,51381.5,Low,48,5,48,6,10,7,124,2,1,4,0,0
6566,71,BB-Others,PhD,Married,2,72550.0,High,826,50,317,50,38,38,1319,5,2,12,0,0
8614,68,BB-Others,Graduation,Widow,1,65486.0,Medium,245,19,125,37,67,14,507,4,2,10,0,0
4114,61,BB-Others,Master,Married,0,79143.0,High,650,37,780,27,167,32,1693,6,9,13,0,0
1331,48,Ger.X-BB,Graduation,Single,1,35790.0,Low,12,6,20,30,1,3,72,2,0,3,0,0
